,Location,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,state,city,Asian/NHPI Alone and in Combination
307,"Fort Wayne, IN Metro Area",419601.0,33764.0,367257.0,18580.0,310565.717,47893.883,19787.133,3462.367,3820.717,307.183,IN,Fort Wayne,20094.316000000003
308,"Frankfort, IN Micro Area",33190.0,6142.0,26195.0,853.0,26222.333,270.333,109.25,157.333,263.75,25.0,IN,Frankfort,134.25
309,"Frankfort, KY Micro Area",75393.0,2568.0,69436.0,3389.0,64555.717,5649.383,1269.617,501.933,812.3,36.05,KY,Frankfort,1305.667
310,"Fredericksburg, TX Micro Area",26725.0,5766.0,20265.0,694.0,20218.833,126.833,155.667,195.667,252.667,9.333,TX,Fredericksburg,165.0
311,"Freeport, IL Micro Area",44630.0,2254.0,40331.0,2045.0,36377.75,4895.083,395.333,329.75,352.417,25.667,IL,Freeport,421.0
312,"Fremont, NE Micro Area",37167.0,6083.0,30137.0,947.0,29962.333,319.5,233.833,200.333,349.167,18.833,NE,Fremont,252.666
313,"Fremont, OH Micro Area",58896.0,6055.0,50424.0,2417.0,49388.667,2243.167,293.833,402.167,495.667,17.5,OH,Fremont,311.333
314,"Fresno, CA Metro Area",1008654.0,540743.0,438365.0,29546.0,284597.367,47898.033,114695.783,7690.15,10919.117,2110.55,CA,Fresno,116806.333
315,"Gadsden, AL Metro Area",103436.0,4895.0,94282.0,4259.0,79760.817,15725.15,1049.733,546.483,1409.483,49.333,AL,Gadsden,1099.066
316,"Gaffney, SC Micro Area",56216.0,2777.0,51579.0,1860.0,40439.583,11696.75,386.083,295.75,596.917,23.917,SC,Gaffney,410.0
317,"Gainesville, FL Metro Area",339247.0,39042.0,284702.0,15503.0,215163.1,58084.883,20080.217,3582.15,3033.367,261.283,FL,Gainesville,20341.5
318,"Gainesville, GA Metro Area",203136.0,57010.0,140006.0,6120.0,123297.95,15117.45,4648.7,1235.333,1700.117,126.45,GA,Gainesville,4775.15
319,"Gainesville, TX Micro Area",41668.0,8519.0,31390.0,1759.0,30257.833,1352.167,364.333,286.0,867.167,21.5,TX,Gainesville,385.833
320,"Galesburg, IL Micro Area",49967.0,3051.0,44622.0,2294.0,40635.25,4880.5,518.75,355.75,430.0,95.75,IL,Galesburg,614.5
321,"Gallup, NM Micro Area",72902.0,8611.0,62766.0,1525.0,6511.333,492.25,1025.0,173.75,56028.833,59.833,NM,Gallup,1084.833
322,"Garden City, KS Micro Area",42453.0,21279.0,20140.0,1034.0,17369.183,1519.6,1586.35,273.5,406.017,19.35,KS,Garden City,1605.6999999999998
