,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,state_name,PopEstimate2015,PopEstimate2016,PopEstimate2017,PopEstimate2018,PopEstimate2019,PopEstimate2020,PopEstimate2021,city/state
5391,2019-06-25,shot,knife,37,M,None,Miami,FL,False,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,6,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Miami, FL"
5392,2019-06-27,shot,gun,50,M,Black,Springfield,FL,False,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,6,2019,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Springfield, FL"
5393,2019-07-01,shot,knife,67,M,Black,Port St. Lucie,FL,False,other,Not fleeing,False,True,60-75,armed,other weapon,knife/cutting instrument,1,7,2019,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Port St. Lucie, FL"
5394,2019-07-05,shot,knife,37,M,Hispanic,Ruskin,FL,False,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,7,2019,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Ruskin, FL"
5395,2019-07-07,shot,gun,28,M,Black,Pensacola,FL,False,attack,Car,False,True,18-29,armed,gun,gun,1,7,2019,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Pensacola, FL"
5396,2019-07-11,shot,knife,33,M,Hispanic,Jacksonville,FL,False,attack,Not fleeing,True,True,30-44,armed,other weapon,knife/cutting instrument,1,7,2019,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Jacksonville, FL"
5397,2019-07-13,shot,gun,46,M,White,Coleman,FL,False,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,7,2019,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Coleman, FL"
5398,2019-07-14,shot,gun,22,M,Black,Hollywood,FL,False,attack,Car,False,True,18-29,armed,gun,gun,1,7,2019,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Hollywood, FL"
5399,2019-07-28,shot,gun,62,M,Hispanic,Boyton Beach,FL,False,attack,Not fleeing,False,True,60-75,armed,gun,gun,1,7,2019,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Boyton Beach, FL"
5400,2019-08-01,shot,knife,48,M,White,Tampa,FL,True,other,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,8,2019,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Tampa, FL"
5401,2019-08-03,shot,gun,35,M,None,Safety Harbor,FL,False,attack,Car,False,True,30-44,armed,gun,gun,1,8,2019,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Safety Harbor, FL"
5402,2019-09-17,shot,vehicle,37,M,None,Milton,FL,False,attack,Car,False,True,30-44,armed,other weapon,other weapon,1,9,2019,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Milton, FL"
5403,2019-09-18,shot,gun,44,M,White,Tallahassee,FL,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,9,2019,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Tallahassee, FL"
5404,2019-09-29,shot,gun,38,M,None,Miami,FL,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,9,2019,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Miami, FL"
5405,2019-10-04,shot,wasp spray,37,M,White,Jacksonville,FL,True,attack,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,10,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Jacksonville, FL"
5406,2019-10-12,shot,machete,57,M,Hispanic,North Port,FL,False,attack,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,10,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"North Port, FL"
5407,2019-10-19,shot,baseball bat and knife,51,M,White,Leesburg,FL,True,other,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,10,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Leesburg, FL"
5408,2019-10-31,shot,gun,34,M,White,Bascom,FL,False,attack,Car,False,True,30-44,armed,gun,gun,1,10,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Bascom, FL"
5409,2019-11-01,shot,gun,41,M,Hispanic,Orlando,FL,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,11,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Orlando, FL"
5410,2019-11-02,tasered and shot,sword,29,M,White,Vero Beach,FL,False,attack,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,11,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Vero Beach, FL"
5411,2019-11-11,shot,vehicle,20,F,White,Lakeland,FL,False,attack,Not fleeing,False,True,18-29,armed,other weapon,other weapon,1,11,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Lakeland, FL"
5412,2019-11-13,shot,knife,37,M,White,Mandarin,FL,True,undetermined,Not fleeing,True,True,30-44,armed,other weapon,knife/cutting instrument,1,11,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Mandarin, FL"
5413,2019-11-28,shot,gun,30,M,Black,Tampa,FL,False,attack,Other,False,True,18-29,armed,gun,gun,1,11,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Tampa, FL"
5414,2019-11-29,shot,gun,60,M,White,Lakeland,FL,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,11,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Lakeland, FL"
5415,2019-12-01,shot,gun and vehicle,16,M,Hispanic,Fort Pierce,FL,False,attack,Other,False,True,Under 18,armed,gun,gun,1,12,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Fort Pierce, FL"
5416,2019-12-01,shot,vehicle,25,M,White,Plant City,FL,False,attack,Car,False,True,18-29,armed,other weapon,other weapon,1,12,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Plant City, FL"
5417,2019-12-02,shot,gun,21,M,Black,Daytona Beach,FL,False,attack,Foot,True,True,18-29,armed,gun,gun,1,12,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Daytona Beach, FL"
5418,2019-12-05,shot,gun,41,M,Black,Miramar,FL,False,attack,Car,False,True,30-44,armed,gun,gun,1,12,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Miramar, FL"
5419,2019-12-05,shot,gun,41,M,Black,Miramar,FL,False,attack,Car,False,True,30-44,armed,gun,gun,1,12,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Miramar, FL"
5420,2019-12-07,shot,gun,65,M,White,Nokomis,FL,True,attack,Not fleeing,False,True,60-75,armed,gun,gun,1,12,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Nokomis, FL"
5421,2019-12-12,shot,knife,22,M,Black,Tampa,FL,False,attack,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,12,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Tampa, FL"
5422,2019-12-14,shot,gun and car,22,M,Black,Jacksonville,FL,False,attack,Car,True,True,18-29,armed,gun,gun,1,12,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Jacksonville, FL"
5423,2019-12-17,shot,gun,27,M,White,Fort Walton Beach,FL,False,attack,Car,False,True,18-29,armed,gun,gun,1,12,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Fort Walton Beach, FL"
5424,2019-12-19,shot,gun,38,M,White,Eustis,FL,False,attack,Foot,False,True,30-44,armed,gun,gun,1,12,2019,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Eustis, FL"
