,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter
2125,2017-02-23,shot,gun,54,M,None,Fairfax,OK,False,attack,Not fleeing,False,-96.704,36.573,True,45-59,armed,gun,gun,1,2,2017,1
2126,2017-02-23,shot,gun,38,M,White,Columbus,OH,False,attack,Not fleeing,False,-82.985,39.932,True,30-44,armed,gun,gun,1,2,2017,1
2127,2017-02-23,shot,gun,24,M,Hispanic,Reno,NV,False,other,Foot,False,-119.816,39.528,True,18-29,armed,gun,gun,1,2,2017,1
2128,2017-02-23,shot,gun,47,M,Black,Washington,DC,False,attack,Foot,True,-76.984,38.902,True,45-59,armed,gun,gun,1,2,2017,1
2129,2017-02-24,shot,gun,62,M,White,Reading,PA,False,attack,Not fleeing,False,-75.914,40.331,True,60-75,armed,gun,gun,1,2,2017,1
2130,2017-02-24,shot,gun,30,M,White,London,KY,True,attack,Not fleeing,False,-83.99,37.091,True,18-29,armed,gun,gun,1,2,2017,1
2131,2017-02-24,shot,gun,33,F,White,Lake Jackson,TX,False,attack,Car,False,-95.436,29.051,True,30-44,armed,gun,gun,1,2,2017,1
2132,2017-02-25,shot,toy weapon,23,M,Black,Rocklin,CA,True,attack,Foot,False,-121.258,38.827,True,18-29,unarmed,unarmed,toy weapon,1,2,2017,1
2133,2017-02-25,shot,gun,39,M,White,Lumpkin,GA,False,attack,Car,False,-84.806,32.049,True,30-44,armed,gun,gun,1,2,2017,1
2134,2017-02-26,shot,knife,41,M,White,Englewood,FL,False,other,Not fleeing,False,-82.292,26.94,True,30-44,armed,other weapon,knife/cutting instrument,1,2,2017,1
2135,2017-02-26,shot,vehicle,46,F,White,Ripon,CA,False,other,Car,False,-121.115,37.739,True,45-59,armed,other weapon,other weapon,1,2,2017,1
2136,2017-02-26,shot,gun,36,M,White,Aragonite,UT,True,other,Not fleeing,False,-112.985,40.736,True,30-44,armed,gun,gun,1,2,2017,1
2137,2017-02-26,shot,gun,66,M,White,Floral City,FL,False,other,Car,False,,,True,60-75,armed,gun,gun,1,2,2017,1
2138,2017-02-27,shot,gun,27,M,White,Shelby,NC,True,attack,Foot,False,-81.543,35.27,True,18-29,armed,gun,gun,1,2,2017,1
2139,2017-02-27,shot,gun,40,M,White,Corning,WI,False,attack,Not fleeing,False,-89.865,45.12,True,30-44,armed,gun,gun,1,2,2017,1
2140,2017-02-28,shot,gun,25,M,Black,Houston,TX,False,attack,Not fleeing,False,-95.538,29.651,True,18-29,armed,gun,gun,1,2,2017,1
2141,2017-02-28,shot,gun,20,M,Black,Orlando,FL,False,attack,Foot,False,-81.411,28.489,True,18-29,armed,gun,gun,1,2,2017,1
2142,2017-02-28,shot,gun,43,M,Hispanic,Houma,LA,True,other,Not fleeing,False,-90.7,29.586,True,30-44,armed,gun,gun,1,2,2017,1
2143,2017-03-01,shot,knife,40,M,Black,Lufkin,TX,False,attack,Not fleeing,True,-94.728,31.356,True,30-44,armed,other weapon,knife/cutting instrument,1,3,2017,1
2144,2017-03-02,shot,gun,33,M,White,Rib Mountain,WI,True,attack,Not fleeing,False,-89.643,44.917,True,30-44,armed,gun,gun,1,3,2017,1
2145,2017-03-02,shot,baseball bat,34,M,Hispanic,San Marcos,CA,False,other,Not fleeing,False,-117.143,33.135,True,30-44,armed,other weapon,other weapon,1,3,2017,1
2146,2017-03-02,shot,toy weapon,27,M,Hispanic,Phoenix,AZ,False,attack,Not fleeing,False,-112.069,33.451,True,18-29,unarmed,unarmed,toy weapon,1,3,2017,1
2147,2017-03-02,shot,gun,25,M,Hispanic,Reno,NV,False,attack,Not fleeing,False,-119.789,39.497,True,18-29,armed,gun,gun,1,3,2017,1
2148,2017-03-02,shot,knife,37,M,Hispanic,Paterson,NJ,True,other,Not fleeing,False,-74.165,40.901,True,30-44,armed,other weapon,knife/cutting instrument,1,3,2017,1
2149,2017-03-03,shot,gun,32,M,White,Englewood,CO,True,other,Not fleeing,False,-104.99,39.664,True,30-44,armed,gun,gun,1,3,2017,1
2150,2017-03-03,shot,toy weapon,25,M,Native,Lemoore,CA,False,attack,Not fleeing,False,-119.763,36.232,True,18-29,unarmed,unarmed,toy weapon,1,3,2017,1
2151,2017-03-04,shot,undetermined,38,M,White,Oklahoma City,OK,False,attack,Car,True,-97.496,35.432,True,30-44,undetermined,undetermined,undetermined,1,3,2017,1
2152,2017-03-04,shot,gun,50,M,White,Fountain Inn,SC,True,attack,Not fleeing,False,-82.181,34.731,True,45-59,armed,gun,gun,1,3,2017,1
2153,2017-03-04,shot,metal object,26,M,White,Cabazon,CA,False,other,Foot,False,-116.814,33.926,True,18-29,armed,other weapon,other weapon,1,3,2017,1
2154,2017-03-04,tasered and shot,pipe,70,M,Hispanic,Los Angeles,CA,False,other,Not fleeing,False,-118.257,34.041,True,60-75,armed,other weapon,other weapon,1,3,2017,1
2155,2017-03-07,shot,unarmed,38,M,White,Medina,OH,False,other,Car,False,-81.787,41.161,True,30-44,unarmed,unarmed,unarmed,1,3,2017,1
2156,2017-03-07,tasered and shot,sharp object,41,M,Black,Ladera Heights,CA,True,other,Not fleeing,False,-118.365,33.987,True,30-44,armed,other weapon,knife/cutting instrument,1,3,2017,1
2157,2017-03-08,shot,gun,91,M,White,Union Township,PA,False,attack,Not fleeing,False,-79.998,40.259,True,Over 75,armed,gun,gun,1,3,2017,1
2158,2017-03-08,shot,knife,33,M,None,Riverside,CA,False,other,Not fleeing,False,-117.331,33.892,True,30-44,armed,other weapon,knife/cutting instrument,1,3,2017,1
2159,2017-03-08,shot,gun,25,M,White,Charlotte,NC,True,other,Not fleeing,False,-80.833,35.26,True,18-29,armed,gun,gun,1,3,2017,1
2160,2017-03-09,shot,baseball bat and bottle,29,M,White,Huntington Beach,CA,True,other,Not fleeing,False,-118.003,33.701,True,18-29,armed,other weapon,other weapon,1,3,2017,1
2161,2017-03-09,tasered and shot,knife,24,M,Hispanic,Santa Clara,CA,True,other,Not fleeing,False,-121.963,37.362,True,18-29,armed,other weapon,knife/cutting instrument,1,3,2017,1
2162,2017-03-10,shot,gun,40,M,White,Escondido,CA,True,attack,Not fleeing,False,-117.034,33.145,True,30-44,armed,gun,gun,1,3,2017,1
2163,2017-03-11,shot,gun,51,M,White,Midlothian,TX,False,attack,Not fleeing,False,-97.003,32.427,True,45-59,armed,gun,gun,1,3,2017,1
2164,2017-03-11,shot,gun,30,M,Black,East Baton Rouge,LA,False,attack,Not fleeing,False,-91.009,30.44,True,18-29,armed,gun,gun,1,3,2017,1
2165,2017-03-12,shot,knife,28,M,Hispanic,Bellingham,WA,False,attack,Foot,True,-122.475,48.751,True,18-29,armed,other weapon,knife/cutting instrument,1,3,2017,1
2166,2017-03-12,tasered and shot,knife,33,M,Hispanic,Orange,CA,True,other,Not fleeing,False,-117.853,33.809,True,30-44,armed,other weapon,knife/cutting instrument,1,3,2017,1
2167,2017-03-13,shot,undetermined,23,M,Black,Euclid,OH,False,other,Not fleeing,True,-81.531,41.6,True,18-29,undetermined,undetermined,undetermined,1,3,2017,1
2168,2017-03-13,shot,knife,23,M,White,Napa,CA,True,other,Not fleeing,False,-122.275,38.285,True,18-29,armed,other weapon,knife/cutting instrument,1,3,2017,1
2169,2017-03-13,shot,undetermined,20,M,Black,Woodlawn,MD,False,other,Other,True,-76.727,39.322,True,18-29,undetermined,undetermined,undetermined,1,3,2017,1
2170,2017-03-14,shot,unarmed,56,M,White,Toms River,NJ,True,attack,Not fleeing,False,-74.212,39.957,True,45-59,unarmed,unarmed,unarmed,1,3,2017,1
2171,2017-03-14,shot,undetermined,36,M,White,Fife,WA,False,attack,Not fleeing,False,-122.364,47.239,True,30-44,undetermined,undetermined,undetermined,1,3,2017,1
2172,2017-03-14,shot,gun,18,M,White,Westminster,CO,False,attack,Not fleeing,False,-105.042,39.9,True,Under 18,armed,gun,gun,1,3,2017,1
2173,2017-03-14,shot,gun,43,M,White,Panama City Beach,FL,False,attack,Not fleeing,False,-85.892,30.225,True,30-44,armed,gun,gun,1,3,2017,1
2174,2017-03-14,shot,unarmed,16,F,Hispanic,Hayward,CA,False,other,Not fleeing,False,-122.065,37.661,True,Under 18,unarmed,unarmed,unarmed,1,3,2017,1
2175,2017-03-15,shot,gun,29,M,Black,St. Paul,MN,False,other,Not fleeing,False,-93.067,44.961,True,18-29,armed,gun,gun,1,3,2017,1
2176,2017-03-15,shot,undetermined,25,M,White,Phoenix,AZ,False,other,Car,False,-112.117,33.784,True,18-29,undetermined,undetermined,undetermined,1,3,2017,1
2177,2017-03-16,shot,gun,34,M,Black,Warren,MI,False,attack,Not fleeing,False,-83.006,42.5,True,30-44,armed,gun,gun,1,3,2017,1
2178,2017-03-16,shot,gun,32,M,Black,Milwaukee,WI,False,other,Not fleeing,True,-87.934,43.106,True,30-44,armed,gun,gun,1,3,2017,1
2179,2017-03-16,shot,gun,58,M,White,Deltona,FL,True,attack,Not fleeing,False,-81.16,28.882,True,45-59,armed,gun,gun,1,3,2017,1
2180,2017-03-16,shot,undetermined,36,M,Black,Alamo,TN,True,attack,Not fleeing,True,-89.161,35.797,True,30-44,undetermined,undetermined,undetermined,1,3,2017,1
2181,2017-03-16,tasered and shot,gun,32,M,Black,Fayetteville,NC,False,attack,Not fleeing,False,-78.875,35.066,True,30-44,armed,gun,gun,1,3,2017,1
2182,2017-03-17,shot,knife,25,M,White,Presque Isle,ME,False,other,Not fleeing,False,-68.035,46.699,True,18-29,armed,other weapon,knife/cutting instrument,1,3,2017,1
