,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,city/state
6164,2021-03-22,shot,gun,37,M,None,Fruithurst,AL,False,attack,Car,False,,,True,30-44,armed,gun,gun,1,3,2021,1,"Fruithurst, AL"
6165,2021-03-23,shot,gun,60,M,White,Anderson,IN,True,attack,Not fleeing,False,-85.68,40.087,True,45-59,armed,gun,gun,1,3,2021,1,"Anderson, IN"
6166,2021-03-23,shot,knife,44,M,None,Jacksonville,MO,False,other,Foot,False,,,True,30-44,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Jacksonville, MO"
6167,2021-03-23,shot,gun,41,M,None,Stillwater County,MT,False,attack,Car,False,,,True,30-44,armed,gun,gun,1,3,2021,1,"Stillwater County, MT"
6168,2021-03-23,shot,undetermined,32,M,Black,Charlotte,NC,False,undetermined,Not fleeing,False,,,True,30-44,undetermined,undetermined,undetermined,1,3,2021,1,"Charlotte, NC"
6169,2021-03-24,shot,gun,34,M,None,Fremont,CA,False,other,Car,True,-122.051,37.552,True,30-44,armed,gun,gun,1,3,2021,1,"Fremont, CA"
6170,2021-03-24,shot,gun,35,M,Black,Forest Park,IL,False,other,Not fleeing,False,-87.808,41.88,True,30-44,armed,gun,gun,1,3,2021,1,"Forest Park, IL"
6171,2021-03-24,shot,gun,33,M,Black,Canton,OH,False,attack,Not fleeing,False,,,True,30-44,armed,gun,gun,1,3,2021,1,"Canton, OH"
6172,2021-03-24,shot,knife and vehicle,34,M,None,Phoenix,AZ,False,attack,Car,False,,,True,30-44,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Phoenix, AZ"
6173,2021-03-24,shot,gun,57,M,White,Port Salerno,FL,False,attack,Not fleeing,False,,,True,45-59,armed,gun,gun,1,3,2021,1,"Port Salerno, FL"
6174,2021-03-25,shot,gun,35,M,Black,King George County,VA,False,attack,Not fleeing,False,-77.032,38.358,True,30-44,armed,gun,gun,1,3,2021,1,"King George County, VA"
6175,2021-03-25,shot,gun,18,M,Black,Chicago,IL,True,attack,Foot,False,-87.684,41.81,True,Under 18,armed,gun,gun,1,3,2021,1,"Chicago, IL"
6176,2021-03-25,shot,gun,51,F,White,Seaford,DE,False,other,Not fleeing,False,-75.55,38.618,True,45-59,armed,gun,gun,1,3,2021,1,"Seaford, DE"
6177,2021-03-25,shot,gun and car,34,M,None,Mount Pleasant,TX,False,attack,Not fleeing,False,,,True,30-44,armed,gun,gun,1,3,2021,1,"Mount Pleasant, TX"
